Team,Date,Event,Opponent,OpponentCountry,Map,TeamScore,OpponentScore,W/L
Bravado,2017/01/13,WESG 2016 World Finals,FIVE,China,Train,16,7,W
Bravado,2017/01/13,WESG 2016 World Finals,Kinguin,Poland,Train,10,16,L
Bravado,2017/01/13,WESG 2016 World Finals,Kinguin,Poland,Cache,8,16,L
Bravado,2017/01/12,WESG 2016 World Finals,Space Soldiers,Turkey,Cache,11,16,L
Bravado,2017/01/12,WESG 2016 World Finals,Space Soldiers,Turkey,Train,10,16,L
Bravado,2017/01/12,WESG 2016 World Finals,Signature,Thailand,Mirage,3,16,L
Bravado,2017/01/12,WESG 2016 World Finals,Signature,Thailand,Train,16,14,W
Bravado,2017/01/07,ESEA Season 23 MDL Global Challenge,Rogue,Denmark,Mirage,3,16,L
Bravado,2017/01/07,ESEA Season 23 MDL Global Challenge,Rogue,Denmark,Train,7,16,L
Bravado,2017/01/06,ESEA Season 23 MDL Global Challenge,LDLC,Europe,Overpass,4,16,L
Bravado,2017/01/06,ESEA Season 23 MDL Global Challenge,TSM,Canada,Mirage,16,8,W
Bravado,2016/11/23,ESEA Open Season 23 South Africa,carboN,South Africa,Overpass,16,9,W
Bravado,2016/11/23,ESEA Open Season 23 South Africa,carboN,South Africa,Nuke,12,16,L
Bravado,2016/11/23,ESEA Open Season 23 South Africa,carboN,South Africa,Cache,16,5,W
Bravado,2016/11/21,ESEA Open Season 23 South Africa,Aperture,South Africa,Cobblestone,16,14,W
Bravado,2016/11/21,ESEA Open Season 23 South Africa,Aperture,South Africa,Mirage,16,5,W
Bravado,2016/11/16,ESEA Open Season 23 South Africa,FlipSid3 Africa,South Africa,Dust2,16,10,W
Bravado,2016/11/16,ESEA Open Season 23 South Africa,FlipSid3 Africa,South Africa,Overpass,16,3,W
Bravado,2016/10/28,ESWC 2016,LDLC,Europe,Cache,8,16,L
Bravado,2016/10/28,ESWC 2016,LDLC,Europe,Dust2,12,16,L
Bravado,2016/10/28,ESWC 2016,LDLC,Europe,Train,16,10,W
Bravado,2016/10/27,ESWC 2016,Overcome,India,Cache,16,11,W
Bravado,2016/10/27,ESWC 2016,Overcome,India,Cobblestone,16,9,W
Bravado,2016/10/27,ESWC 2016,LDLC,Europe,Cache,9,16,L
Bravado,2016/09/04,Evetech Champions League 2016,Aperture,South Africa,Train,16,11,W
Bravado,2016/09/04,Evetech Champions League 2016,Aperture,South Africa,Cache,16,4,W
Bravado,2016/09/03,Evetech Champions League 2016,carboN,South Africa,Cobblestone,16,13,W
Bravado,2016/09/03,Evetech Champions League 2016,carboN,South Africa,Train,16,14,W
Bravado,2016/09/02,Evetech Champions League 2016,xTc,South Africa,Dust2,16,1,W
Bravado,2016/09/02,Evetech Champions League 2016,xTc,South Africa,Cobblestone,16,3,W
Bravado,2016/09/02,Evetech Champions League 2016,xTc,South Africa,Train,11,16,L
Bravado,2016/08/28,WESG 2016 Africa & Middle East Regional Finals,Space Soldiers,Turkey,Dust2,1,16,L
Bravado,2016/08/28,WESG 2016 Africa & Middle East Regional Finals,Space Soldiers,Turkey,Mirage,2,16,L
Bravado,2016/08/27,WESG 2016 Africa & Middle East Regional Finals,Chosen5,Jordan,Cache,16,8,W
Bravado,2016/08/27,WESG 2016 Africa & Middle East Regional Finals,Chosen5,Jordan,Train,16,5,W
Bravado,2016/08/26,WESG 2016 Africa & Middle East Regional Finals,FENNEC,Algeria,Cache,16,10,W
Bravado,2016/08/26,WESG 2016 Africa & Middle East Regional Finals,DarkPassage,Turkey,Mirage,19,17,W
Bravado,2016/08/26,WESG 2016 Africa & Middle East Regional Finals,Swift,United Arab Emirates,Mirage,16,14,W
Bravado,2016/08/17,ESEA Open Season 22 South Africa,carboN,South Africa,Cache,16,12,W
Bravado,2016/08/17,ESEA Open Season 22 South Africa,carboN,South Africa,Mirage,16,7,W
Bravado,2016/08/15,WESG 2016 South & East Africa,carboN,South Africa,Cobblestone,16,10,W
Bravado,2016/08/15,WESG 2016 South & East Africa,carboN,South Africa,Mirage,16,11,W
Bravado,2016/08/14,ESEA Open Season 22 South Africa,Aperture,South Africa,Cache,16,9,W
Bravado,2016/08/14,ESEA Open Season 22 South Africa,Aperture,South Africa,Train,16,9,W
Bravado,2016/08/14,WESG 2016 South & East Africa,FlipSid3 Africa,South Africa,Cobblestone,22,18,W
Bravado,2016/08/14,WESG 2016 South & East Africa,FlipSid3 Africa,South Africa,Cache,16,3,W
Bravado,2016/08/09,ESEA Open Season 22 South Africa,White Rabbit,South Africa,Dust2,16,6,W
Bravado,2016/08/09,ESEA Open Season 22 South Africa,White Rabbit,South Africa,Mirage,16,4,W
Bravado,2016/07/31,ESWC 2016 South African Qualifier,carboN,South Africa,Train,16,4,W
Bravado,2016/07/31,ESWC 2016 South African Qualifier,carboN,South Africa,Cache,16,19,L
Bravado,2016/07/31,ESWC 2016 South African Qualifier,carboN,South Africa,Mirage,16,12,W
Bravado,2016/07/31,ESWC 2016 South African Qualifier,Aperture,South Africa,Cobblestone,16,12,W
